Just	Just	av-j	Just	just	0
beyond	beyond	p-acp	beyond	beyond	0
it	it	pn31	it	it	0
,	,	,	,	,	0
however	however	a-acp	however	however	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
far	far	j	far	far	0
side	side	n1	side	side	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kitchen	kitchen	j-jn	kitchen	kitchen	0
door	door	n1	door	door	0
,	,	,	,	,	0
a	a	dt	a	a	0
woman	woman	n1	woman	woman	0
had	had	vhd	had	have	0
stood	stood	vvn	stood	stand	0
and	and	cc	and	and	0
talked	talked	vvn	talked	talk	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
man	man	n1	man	man	0
,	,	,	,	,	0
whose	whose	r-crq	whose	who	0
round	round	j	round	round	0
impressions	impressions	n2	impressions	impression	0
on	on	p-acp	on	on	0
one	one	crd	one	one	0
side	side	n1	side	side	0
showed	showed	vvd	showed	show	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
a	a	dt	a	a	0
wooden	wooden	j	wooden	wooden	0
leg	leg	n1	leg	leg	0
.	.	.	.	.	1
"	"	"	"	"	0
No	No	uh-x	No	no	0
sign	sign	n1	sign	sign	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
?	?	?	?	?	0
"	"	"	"	"	1
